,,,,,,,,,,,,,,,,,
,1) Species ,,,,,,,,,,,,,,,,
,"you can roll 1d100, consult the Random Species Table, and gain +20 XP if you accept the result",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Random Species Table,,,,,,,,,,,,,,,,
,1d100,Species,,,,,,,,,,,,,,,
,01-90,Human,,,,,,,,,,,,,,,
,91-94,Halfling,,Did you roll?,,Unselected,,,,,,,,,,,
,95-98,Dwarf,,,,,,,,,,,,,,,
,99,High Elf,,Race,,Unselected,,,,,,,,,,,
,0,Wood Elf,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2) Class and Career,,,,,,,,,,,,,,,,
,"Step 1. Roll 1d100 on the Random Class and Career Table. If you don’t like the result, move to step 2. If you keep the result, gain +50 XP.",,,,,,,,,,,,,,,,
,"Step 2. Roll twice more on the table, bringing your total to 3 choices. If one of the three now suits you, select one and gain +25 XP. If not, move to Step 3.",,,,,,,,,,,,,,,,
,"Step 3. Choose your Class and Career, or keep rerolling on the table until you get something you like. There is no XP bonus for this.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Class,,Career/Species,,Human,Dwarf,Halfling,High Elf,Wood Elf,,,,,,,,
,ACADEMICS,,Apothecary,,1,1,1,1-2,-,,,,,,,,
,,,Engineer,,2,2-4,2,-,-,,,,,,,,
,,,Lawyer,,3,5-6,3-4,3-6,-,,,,,,,,
,,,Nun,,04-05,-,-,-,-,,,,,,,,
,,,Physician,,6,7,5-6,7-8,-,,,,,,,,
,,,Priest,,07-11,-,-,-,-,,,,,,,,
,,,Scholar,,12-13,8-9,7,9-12,1,,,,,,,,
,,,Wizard,,14,-,-,13-16,2-5,,,,,,,,
,BURGHERS,,Agitator,,15,10-11,9-10,-,-,,,,,,,,
,,,Artisan,,16-17,12-17,11-15,17-19,6-10,,,,,,,,
,,,Beggar,,18-19,18,16-19,-,-,,,,,,,,
,,,Investigator,,20,19-20,20-21,20-21,-,,,,,,,,
,,,Merchant,,21,21-24,22-25,22-26,-,,,,,,,,
,,,Rat Catcher,,22-23,25,26-28,-,-,,,,,,,,
,,,Townsman,,24-26,26-31,29-31,27-28,-,,,,,,,,
,,,Watchman,,27,32-34,32-33,29,-,,,,,,,,
,COURTIERS,,Advisor,,28,35-36,34,30-31,11-14,,,,,,,,
,,,Artist,,29,37,35-36,32,15-18,,,,,,,,
,,,Duellist,,30,38,-,33-34,-,,,,,,,,
,,,Envoy,,31,39-40,37,35-37,19-25,,,,,,,,
,,,Noble,,32,41,-,38-40,26-31,,,,,,,,
,,,Servant,,33-35,42,38-43,-,-,,,,,,,,
,,,Spy,,36,43,44,41-43,32-35,,,,,,,,
,,,Warden,,37,44-45,45-46,44-45,-,,,,,,,,
,PEASANTS,,Bailiff,,38,46-47,47,-,-,,,,,,,,
,,,Hedge Witch,,39,-,-,-,-,,,,,,,,
,,,Herbalist,,40,-,48-50,46-47,36-42,,,,,,,,
,,,Hunter,,41-42,48-49,51-52,48-50,43-52,,,,,,,,
,,,Miner,,43,50-54,53,-,-,,,,,,,,
,,,Mystic,,44,-,-,-,53-57,,,,,,,,
,,,Scout,,45,55,54,51-56,58-68,,,,,,,,
,,,Villager,,46-50,56,55-57,-,-,,,,,,,,
,RANGERS,,Bounty Hunter,,51,57-60,58,57-59,69-70,,,,,,,,
,,,Coachman,,52,61,59-60,-,-,,,,,,,,
,,,Entertainer,,53-54,62-63,61-63,60-62,71-75,,,,,,,,
,,,Flagellant,,55-56,-,-,-,76-78,,,,,,,,
,,,Messenger,,57,64-65,64-65,63,-,,,,,,,,
,,,Pedlar,,58,66-67,66-67,-,-,,,,,,,,
,,,Road Warden,,59,-,68,-,-,,,,,,,,
,,,Witch Hunter,,60,-,-,-,-,,,,,,,,
,RIVERFOLK,,Boatman,,61-62,68-69,69,64,-,,,,,,,,
,,,Huffer,,63,70,70,-,-,,,,,,,,
,,,Riverwarden,,64-65,-,71,-,-,,,,,,,,
,,,Riverwoman,,66-68,71-72,72-74,-,-,,,,,,,,
,,,Seaman,,69-70,73,75,65-79,-,,,,,,,,
,,,Smuggler,,71,74-75,76-79,80,-,,,,,,,,
,,,Stevedore,,72-73,76-77,80-82,-,-,,,,,,,,
,,,Wrecker,,74,78,-,-,79,,,,,,,,
,ROGUES,,Bawd,,75-76,-,83-85,81-82,-,,,,,,,,
,,,Charlatan,,77,-,86,83-85,-,,,,,,,,
