Career;Characteristics;Skills;Talents;Status;,,,,,,,,,,,,,,,,
Apothecary 1;T, Dex, Int;Consume Alcohol, Heal, Language (Classical), Lore (Chemistry), Lore (Medicine), Lore (Plants), Trade (Apothecary), Trade (Poisoner);Concoct, Craftsman (Apothecary), Etiquette (Scholar), Read/Write;Brass 3;,,,,
Apothecary 2;Fel;Charm, Haggle, Lore (Science), Gossip, Language (Guilder), Perception;Criminal, Dealmaker, Etiquette (Guilder), Pharmacist;Silver 1; ,,,,,,,,
Apothecary 3;I;Intuition, Leadership, Research, Secret Signs (Guilder);Bookish, Master Tradesman (Apothecary), Resistance (Poison), Savvy;Silver 3;,,,,,,,,,,
Apothecary 4;Wp;Intimidate, Ride (Horse);Acute Sense (Taste), Coolheaded, Master Tradesman (Poisoner), Savant (Apothecary) ;Gold 1;,,,,,,,,,,,,
Engineer 1;Bs, Dex, Int;Consume Alcohol, Cool, Endurance, Language (Classical), Lore (Engineer), Perception, Ranged (Blackpowder), Trade (Engineer);Artistic, Gunner, Read/Write, Tinker ;Brass 4;,,,,
Engineer 2;I;Drive, Dodge, Navigation, Ranged (Engineering), Research, Language (Guilder);Craftsman (Engineer), Etiquette (Guilder), Marksman, Orientation;Silver 2;,,,,,,,,
Engineer 3;T;Language (Khazalid), Leadership, Ride (Horse), Secret Signs (Guilder);Etiquette (Scholar), Master Tradesman (Engineering), Sniper, Super Numerate ;Silver 4;,,,,,,,,,,
Engineer 4;Wp;Language (Any), Lore (Any);Magnum Opus, Rapid Reload, Savant (Engineering), Unshakeable;Gold 2;,,,,,,,,,,,,
Lawyer 1;I, Dex, Int;Consume Alcohol, Endurance, Haggle, Language (Classical), Lore (Law), Lore (Theology), Perception, Research;Blather, Etiquette (Scholar), Read/Write, Speedreader;Brass 4;,,,,
Lawyer 2;Fel;Bribery, Charm, Gossip, Intuition, Language (Guilder), Secret Signs (Guilder) ;Argumentative, Criminal, Etiquette (Guilder), Suave;Silver 3;,,,,,,,,
Lawyer 3;Wp;Art (Writing), Entertain (Speeches), Intimidate, Lore (Any);Bookish, Cat-tongued, Impassioned Zeal, Savvy;Gold 1;,,,,,,,,,,
Lawyer 4;T;Cool, Lore (Any);Commanding Presence, Kingpin, Savant (Law), Wealthy;Gold 2;,,,,,,,,,,,,
Nun 1;Dex, Int, Fel;Art (Calligraphy), Cool, Endurance, Entertain (Storyteller), Gossip, Heal, Lore (Theology), Pray ;Bless (Any), Stone Soup, Panhandle, Read/Write ;Brass 1;,,,,
Nun 2;Wp;Charm, Melee (Any), Research, Trade (Brewer), Trade (Herbalist), Trade (Vintner);Etiquette (Cultists), Field Dressing, Holy Visions, Invoke (Any);Brass 4;,,,,,,,,
Nun 3;I;Leadership, Lore (Local), Lore (Politics), Perception ;Resistance (Any), Robust, Savant (Theology), Stout- hearted;Silver 2;,,,,,,,,,,
Nun 4;T;Language (Any), Lore (Any);Commanding Presence, Iron Will, Pure Soul, Strong-minded;Silver 5;,,,,,,,,,,,,
Physician 1;Dex, Int, Wp;Bribery, Cool, Drive, Endurance, Gossip, Heal, Perception, Sleight of Hand;Bookish, Field Dressing, Read/Write, Strike to Stun;Brass 4;,,,,
Physician 2;Fel;Charm, Haggle, Language (Guilder), Lore (Anatomy), Lore (Medicine), Trade (Barber) ;Coolheaded, Criminal, Etiquette (Guilder), Surgery;Silver 3;,,,,,,,,
Physician 3;I;Consume Alcohol, Intimidate, Leadership, Research;Etiquette (Scholars), Resistance (Disease), Savvy, Strike to Injure;Silver 5;,,,,,,,,,,
Physician 4;Agi;Lore (Noble), Perform (Dancing);Etiquette (Nobles), Nimble Fingered, Savant (Medicine), Strong-minded;Gold 1;,,,,,,,,,,,,
Priest 1;T, Agi, Wp;Athletics, Cool, Endurance, Intuition, Lore (Theology), Perception, Pray, Research;Bless (Any), Holy Visions, Read/Write, Suave ;Brass 2;,,,,
Priest 2;Fel;Charm, Entertain (Storytelling), Gossip, Heal, Intimidate, Melee (Basic);Blather, Bookish, Etiquette (Cultists), Invoke (Any) ;Silver 1;,,,,,,,,
Priest 3;Int;Art (Writing), Entertain (Speeches), Leadership, Lore (Heraldry);Acute Sense (Any), Hatred (Any), Impassioned Zeal, Strong-minded;Gold 1;,,,,,,,,,,
Priest 4;I;Language (Any), Lore (Politics);Master Orator, Pure Soul, Resistance (Any), Savant (Theology);Gold 2;,,,,,,,,,,,,
Scholar 1;T, Int, Wp;Consume Alcohol, Entertain (Storytelling), Gamble, Gossip, Haggle, Language (Classical), Lore (Any), Research;Carouser, Read/Write, Savvy, Super Numerate ;Brass 3;,,,,
Scholar 2;I;Art (Writing), Intuition, Language (Any), Lore (Any), Perception, Trade (Any);Bookish, Etiquette (Scholars), Speedreader, Suave;Silver 2;,,,,,,,,
Scholar 3;Fel;Entertain (Lecture), Intimidate, Language (Any), Lore (Any);Linguistics, Public Speaker, Savant (Any), Tower of Memories;Silver 5;,,,,,,,,,,
Scholar 4;Dex;Entertain (Rhetoric), Lore (Any) ;Magnum Opus, Master Orator, Savant (Any), Sharp;Gold 1;,,,,,,,,,,,,
Wizard 1;Ws, Int, Wp;Channelling (Any Colour), Dodge, Intuition, Language (Magick), Lore (Magic), Melee (Basic), Melee (Polearm), Perception ;Aethyric Attunement, Petty Magic, Read/Write, Second Sight;Brass 3;,,,,
Wizard 2;Agi;Charm, Cool, Gossip, Intimidate, Language (Battle), Language (Any);Arcane Magic (Any Arcane Lore), Detect Artefact, Fast Hands, Sixth Sense;Silver 3;,,,,,,,,
Wizard 3;I;Animal Care, Evaluate, Lore (Warfare), Ride (Horse) ;Dual Wielder, Instinctive Diction, Magical Sense, Menacing;Gold 1;,,,,,,,,,,
Wizard 4;Fel;Language (Any), Lore (Any);Combat Aware, Frightening, Iron Will, War Wizard ;Gold 2;,,,,,,,,,,,,
Agitator 1;Bs, Int, Fel;Art (Writing), Bribery, Charm, Consume Alcohol, Gossip, Haggle, Lore (Politics), Trade (Printing);Blather, Gregarious, Panhandle, Read/Write ;Brass 1;,,,,
Agitator 2;Agi;Cool, Dodge, Entertain (Storytelling), Gamble, Intuition, Leadership;Alley Cat, Argumentative, Impassioned Zeal, Public Speaker;Brass 2;,,,,,,,,
Agitator 3;Ws;Athletics, Intimidate, Melee (Fist), Perception ;Cat-tongued, Dirty Fighting, Flee!, Step Aside ;Brass 3;,,,,,,,,,,
Agitator 4;I;Lore (Heraldry), Ride (Horse);Etiquette (Any), Master Orator, Schemer, Suave;Brass 5;,,,,,,,,,,,,
Artisan 1;S, T, Dex;Athletics, Cool, Consume Alcohol, Dodge, Endurance, Evaluate, Stealth (Urban), Trade (Any);Artistic, Craftsman (any), Strong Back, Very Strong ;Brass 2;,,,,
Artisan 2;Fel;Charm, Haggle, Lore (Local), Gossip, Language (Guilder), Perception;Dealmaker, Etiquette (Guilder), Nimble Fingered, Sturdy;Silver 1;,,,,,,,,
